job_title,job_description,skill_requirements
Inside Customer Service Associate,"Glastender Inc. is a family-owned manufacturer of commercial bar and restaurant equipment, known for its high-quality products and innovative solutions. With a strong commitment to the customer experience, Glastender has been serving the industry for over 50 years, providing establishments with state-of-the-art equipment and exceptional service.We are currently looking for an Inside Customer Service Associate who can communicate with outside customers by providing exceptional customer service by","沟通能力, 组织能力, 多任务处理, 客户服务, 产品知识, 行业趋势分析, 订单处理, 报价编制, 销售支持, AutoCAD, 文字处理软件, 电子表格软件, 计算机操作, 团队合作, 商业销售经验, 市场营销知识"
Project Architect,"PGAV Destinations is seeking a self-motivated and highly creative individual with a good understanding of the technical aspects of architecture. The candidate must be able to learn quickly, be collaborative, have a strong work ethic, and be able to execute or work on multiple projects simultaneously. This team member would also be instrumental in the coordination of design-intensive, complex projects and should possess strong leadership qualities in order to guide less experienced teammates over","Revit, AutoCAD, Microsoft Office Suite, Adobe Creative Suite, Rhino, SketchUp, 3ds Max, 3D建模, 建筑规范分析, 建筑系统知识, 手绘草图, 数字草图, 概念设计, 施工文件, 施工管理, 团队协作, 领导力, 自我激励, 创造力, 快速学习, 工作伦理, 多任务处理, 问题解决, 沟通能力, 协调能力, 项目管理, 建筑设计, 建筑法规, ADA知识"
Appalachian Highlands Women's Business Center,"FULL JOB DESCRIPTION – PROGRAM DIRECTOR Appalachian Highlands Women’s Business Center Kingsport, TennesseeDepartment: Kingsport Office of Small Business Development & Entrepreneurship (KOSBE)Reports to: Chief Business Development Officer, Kingsport Chamber - KOSBEDirect Reports: AppH-WBC StaffType of Position: DirectorWork Schedule: Full-Time (40 hours per week). Exempt Status: ExemptLocation: This is not a remote position, this is in office in Kingsport, Tenn. AppH-WBC is located in Kingsport, ","项目管理, 预算管理, 财务报告, 客户关系管理, 学习管理系统, 项目筹资, 战略规划, 团队领导, 沟通能力, 组织能力, 时间管理, 客户服务, 人际关系, 协作能力, 创业咨询, 商业敏锐度, 社区经济发展, 培训开发, 市场营销, 数据分析, 绩效管理, 会议策划, 社交媒体管理, 网站管理, 记录管理, 报告撰写, 团队发展, 战略思维, 共识建立, 谈判技巧, 演讲能力, 多任务处理, 压力管理, 保密性, 诚信, 多样性管理, 创新思维, 问题解决, 决策能力, 资源优化, 员工发展, 职业规划, 财务管理, 商业计划编写, 政府合同获取, 资金筹集, 商业案例分析, 业务发展, 继承规划, 商业咨询, 经济分析, 商业培训, 商业辅导, 商业网络, 商业伙伴关系, 商业资源整合, 商业活动策划, 商业宣传, 商业推广, 商业合作, 商业咨询, 商业教育, 商业研讨会, 商业会议, 商业展览, 商业赞助, 商业资助, 商业合同, 商业协议, 商业法律, 商业政策, 商业法规, 商业标准, 商业道德, 商业实践"
Structural Engineer,"Universal Structural Engineers is seeking a structural engineer with or without a P.E. license who is self-motivated and willing to thrive with every new challenge. Our firm designs a diverse range of projects from new schools to seismic retrofit to government buildings in Japan. Emphasis is placed on an innovative, interactive approach to quality design.  
Competitive pay and benefits provided. Please visit us on the web at www.UniversalStructuralEngineers.com. ","结构设计, 抗震设计, 创新设计, 自我激励, 挑战应对, 互动协作, 质量把控, AutoCAD"
Senior Product Marketing Manager,"A leading pharmaceutical company committed to developing and commercializing innovative and high-quality medicines that improve the lives of patients is now hiring for a Senior Product Marketing Manager. This role will be responsible for developing and executing marketing strategies for one or more pharmaceutical products. This individual will work closely with cross-functional teams including sales, medical affairs, market research, and commercial operations to develop and implement integrated ","产品营销策略, 市场分析, 预算管理, 绩效跟踪, 跨部门协作, 沟通能力, 团队合作, 领导力, 医药行业知识, 法规合规, 产品开发, 商业化策略, 市场研究, 销售培训, 数字营销, 活动策划, 患者支持计划"
Osteogenic Loading Coach,"Company DescriptionOsteoStrong® is not a gym, diet, supplement, pharmaceutical, or a medical treatment. OsteoStrong® is a unique place where you can go to improve your overall health by focusing on the one thing we all have in common: a skeletal system.The skeletal system is the foundation for your body and provides more than just strength and protection. It is arguably one of the most critical systems of the human body, and by implementing a strategy to care for and strengthen it, many experien","Osteogenic Loading设备操作, 骨骼健康知识, 骨质疏松预防, 运动科学, 健身训练, 沟通能力, 客户服务, 团队合作, 同理心, 组织能力, 激励能力, 红光照疗法, 脉冲电磁感应疗法, 压缩靴疗法, 水疗按摩, 振动疗法"
Administrative Coordinator,Job Title: Administrative CoordinatorOrganization: Cleveland Kids’ Book BankLocation: MidTown Cleveland WarehousePosition Type: F/T 40 hours per weekHourly Rate: $25Schedule: Monday – Friday 9:00 am – 5:00 pmReports to: Executive DirectorSupervises: NoneDescription:The Cleveland Kids’ Book Bank seeks an Administrative Coordinator who will play a pivotal rolein ensuring the successful operation of administrative functions within the organization. Thismultifaceted position encompasses various resp,"QuickBooks, Google Suite, 客户关系管理, 财务记录管理, 组织能力, 时间管理, 沟通能力, 人际交往能力, 多任务处理, 优先级管理, 人力资源管理, 福利管理, 办公管理, 采购管理, 供应商管理, 会议协调, 文档编辑, 报告撰写, 演示文稿制作, 差旅安排, 费用报告, 银行对账, 发票处理, 费用报告处理, 供应商付款, 应收账款管理, 信用核对账, 工资处理, 员工记录管理, 数据库管理, 数据清理, 报告生成"
Customer Service / Reservationist,"Sentinel Limousine of East Providence RI is a family owned business that was established in 1987. We are seeking a Second Shift Customer Service Representative for our local office. Job Description: The Customer Service / Reservationist is responsible for booking, coordinating and securing ground transportation itineraries for our corporate and retail clients. The Reservationist will work side-by-side with management and the chauffeur staff to ensure all reservations are accurate, assigned and i","客户服务, 沟通能力, 多任务处理, 时间管理, 组织能力, 问题解决, 保密意识, 电话礼仪, 细节关注, 快速适应, 团队合作, 道路知识, 批判性思维, 计算机操作, 文件管理"
"Content Writer, Communications","Application opening date: April 24, 2024
Title: Content WriterClassification: ExemptBand Description: SpecialistSupervisor: Director of Communications
Position SummaryThe Content Writer develops and disseminates impactful written content for United Methodists of EPA and GNJ, supporting our mission to recruit and equip transformational spiritual leaders to make disciples and grow vital congregations to transform the world. This is a highly collaborative role in the EPA&GNJ Communications Team.
ww","写作能力, 编辑能力, 内容创作, 社交媒体管理, 摄影技能, 团队合作, 跨文化能力, 关系建立, 保密性, 创新思维, 网络能力, 主动性, 时间管理, 故事讲述, MailChimp, WordPress, SEO工具, Microsoft Suite, 网页出版"
Controller,"WORK @ SWShannon Waltchack (SW) is seeking a Commercial Property Manager to manage a portion of its commercial real estate portfolio. ABOUT SWAt SW, We Help People - our clients, investors and tenants - maximize value, build wealth, see the future, cultivate relationships, and make great real estate decisions. Our experienced team is rooted in our core values: Gratitude, Integrity, Drive & Innovation. We started our property management department to enhance and protect our own properties. Realiz","会计操作, 财务报告, 内部审计, 银行对账, 1099准备, 房地产会计, 书面沟通, 口头沟通, 组织能力, 分析能力, 主动性, 自我导向, 细节关注, 多任务处理, 抗压能力, 领导力, 团队管理, 资源管理, 创新思维, 微软Office 365, Yardi物业管理软件"
